Tue Jan  1 11:50:19 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:51:47 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:53:10 2013,5.80,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:54:26 2013,5.65,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:54:47 2013,5.67,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 12:24:13 2013,5.75,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:27:45 2013,4.92,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:35:33 2013,4.97,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:36:54 2013,5.00,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:37:28 2013,5.46,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:37:41 2013,5.46,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:37:57 2013,5.06,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 15:46:28 2013,4.95,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 16:33:30 2013,4.89,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:11:04 2013,4.97,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:11:13 2013,5.00,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:57:40 2013,0.02,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:59:23 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:01:05 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:06:32 2013,5.14,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:06:44 2013,5.21,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:06:55 2013,5.11,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:09:32 2013,4.87,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:10:48 2013,4.84,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:28:38 2013,4.86,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 20:06:04 2013,4.98,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 20:06:19 2013,4.88,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 20:26:37 2013,4.80,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 12:35:36 2013,4.87,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 12:36:09 2013,4.86,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 12:48:22 2013,4.98,"Calculate mandelbrot set","will-tosh"
